Date : 2025-06-12 22:19:15
Directory : e:\ubuntu\diy-x86os\start\start
Total : 98 files,  14831 codes, 420 comments, 1019 blanks, all 16270 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| Log                     |          3 |      6,486 |          0 |         72 |      6,558 |
| C                       |         41 |      3,637 |        347 |        550 |      4,534 |
| JSON                    |         18 |      3,132 |          0 |         16 |      3,148 |
| x86 and x86_64 Assembly |          5 |        507 |          0 |        105 |        612 |
| CMake                   |         15 |        421 |          0 |        107 |        528 |
| CMake Cache             |          1 |        324 |          0 |         80 |        404 |
| C++                     |          7 |        225 |         10 |         55 |        290 |
| JSON with Comments      |          2 |         38 |          0 |          0 |         38 |
| Shell Script            |          4 |         35 |         37 |         23 |         95 |
| Batch                   |          2 |         26 |         26 |         11 |         63 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         98 |     14,831 |        420 |      1,019 |     16,270 |
| . (Files)                                                                                                         |          3 |      6,493 |          0 |         14 |      6,507 |
| build                                                                                                             |         31 |      4,456 |         61 |        378 |      4,895 |
| build (Files)                                                                                                     |          3 |        511 |          0 |         90 |        601 |
| build\.cmake                                                                                                      |         17 |      2,995 |          0 |         16 |      3,011 |
| build\.cmake\api                                                                                                  |         17 |      2,995 |          0 |         16 |      3,011 |
| build\.cmake\api\v1                                                                                               |         17 |      2,995 |          0 |         16 |      3,011 |
| build\.cmake\api\v1\query                                                                                         |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\reply                                                                                         |         16 |      2,994 |          0 |         16 |      3,010 |
| build\CMakeFiles                                                                                                  |          6 |        785 |         61 |        237 |      1,083 |
| build\CMakeFiles (Files)                                                                                          |          2 |         73 |          0 |         71 |        144 |
| build\CMakeFiles\3.23.1                                                                                           |          4 |        712 |         61 |        166 |        939 |
| build\CMakeFiles\3.23.1 (Files)                                                                                   |          3 |         79 |          0 |         31 |        110 |
| build\CMakeFiles\3.23.1\CompilerIdC                                                                               |          1 |        633 |         61 |        135 |        829 |
| build\source                                                                                                      |          5 |        165 |          0 |         35 |        200 |
| build\source\applib                                                                                               |          1 |         33 |          0 |          7 |         40 |
| build\source\boot                                                                                                 |          1 |         33 |          0 |          7 |         40 |
| build\source\kernel                                                                                               |          1 |         33 |          0 |          7 |         40 |
| build\source\loader                                                                                               |          1 |         33 |          0 |          7 |         40 |
| build\source\shell                                                                                                |          1 |         33 |          0 |          7 |         40 |
| script                                                                                                            |          7 |         71 |         63 |         34 |        168 |
| source                                                                                                            |         57 |      3,811 |        296 |        593 |      4,700 |
| source\applib                                                                                                     |          5 |        190 |         16 |         24 |        230 |
| source\boot                                                                                                       |          4 |         64 |         24 |         16 |        104 |
| source\comm                                                                                                       |          4 |        179 |          2 |         37 |        218 |
| source\kernel                                                                                                     |         37 |      3,119 |        245 |        474 |      3,838 |
| source\kernel (Files)                                                                                             |          1 |         16 |          0 |          3 |         19 |
| source\kernel\core                                                                                                |          3 |        968 |         62 |        125 |      1,155 |
| source\kernel\cpu                                                                                                 |          3 |        367 |         22 |         30 |        419 |
