"filename", "language", "Batch", "JSON with Comments", "Shell Script", "C", "CMake", "x86 and x86_64 Assembly", "Log", "JSON", "CMake Cache", "C++", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\build\source\applib\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\build\source\boot\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\build\source\kernel\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\build\source\loader\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\build\source\shell\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\qemu-debug.log", "Log", 0, 0, 0, 0, 0, 0, 6413, 0, 0, 0, 0, 1, 6414
"e:\ubuntu\diy-x86os\start\start\script\img-write-linux.sh", "Shell Script", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 18, 10, 44
"e:\ubuntu\diy-x86os\start\start\script\img-write-osx.sh", "Shell Script", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 17, 11, 44
"e:\ubuntu\diy-x86os\start\start\script\img-write-win.bat", "Batch", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 49
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-linux.sh", "Shell Script", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-osx.sh", "Shell Script", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-win.bat", "Batch", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 14
"e:\ubuntu\diy-x86os\start\start\script\test.code-workspace", "JSON with Comments", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\source\applib\CMakeLists.txt", "CMake", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\ubuntu\diy-x86os\start\start\source\applib\crt0.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\applib\cstart.c", "C", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 2, 24
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.c", "C", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 8, 136
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 3, -29
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 13, 18, 109
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 13, 19, 229
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\console.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 8, 30
"e:\ubuntu\diy-x86os\start\start\source\kernel\fs\fs.c", "C", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 6, 88
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 4, 22
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\console.c", "C", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 8, 5, 39
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\fs.h", "C", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, -1, 1
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"e:\ubuntu\diy-x86os\start\start\source\shell\CMakeLists.txt", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"e:\ubuntu\diy-x86os\start\start\source\shell\main.c", "C", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 9, 1, 30
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"Total", "-", 26, 38, 35, 1240, 376, 34, 6486, 3132, 324, 22, 183, 518, 12414
