Date : 2025-06-04 18:59:25
Directory : e:\ubuntu\diy-x86os\start\start
Total : 77 files,  6239 codes, 224 comments, 773 blanks, all 7236 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| JSON                    |         14 |      2,527 |          0 |         12 |      2,539 |
| C                       |         25 |      2,367 |        141 |        345 |      2,853 |
| C++                     |         12 |        336 |         20 |         96 |        452 |
| CMake                   |         11 |        322 |          0 |         85 |        407 |
| CMake Cache             |          1 |        312 |          0 |         74 |        386 |
| x86 and x86_64 Assembly |          3 |        201 |          0 |         49 |        250 |
| Log                     |          2 |         73 |          0 |         71 |        144 |
| Shell Script            |          4 |         35 |         37 |         23 |         95 |
| JSON with Comments      |          2 |         29 |          0 |          0 |         29 |
| LinkerScript            |          1 |         22 |          0 |          7 |         29 |
| Batch                   |          2 |         15 |         26 |         11 |         52 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         77 |      6,239 |        224 |        773 |      7,236 |
| . (Files)                                                                                                         |          2 |         70 |          0 |         13 |         83 |
| build                                                                                                             |         25 |      3,771 |         61 |        354 |      4,186 |
| build (Files)                                                                                                     |          3 |        457 |          0 |         84 |        541 |
| build\.cmake                                                                                                      |         13 |      2,430 |          0 |         12 |      2,442 |
| build\.cmake\api                                                                                                  |         13 |      2,430 |          0 |         12 |      2,442 |
| build\.cmake\api\v1                                                                                               |         13 |      2,430 |          0 |         12 |      2,442 |
| build\.cmake\api\v1\query                                                                                         |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\reply                                                                                         |         12 |      2,429 |          0 |         12 |      2,441 |
| build\CMakeFiles                                                                                                  |          6 |        785 |         61 |        237 |      1,083 |
| build\CMakeFiles (Files)                                                                                          |          2 |         73 |          0 |         71 |        144 |
| build\CMakeFiles\3.23.1                                                                                           |          4 |        712 |         61 |        166 |        939 |
| build\CMakeFiles\3.23.1 (Files)                                                                                   |          3 |         79 |          0 |         31 |        110 |
| build\CMakeFiles\3.23.1\CompilerIdC                                                                               |          1 |        633 |         61 |        135 |        829 |
| build\source                                                                                                      |          3 |         99 |          0 |         21 |        120 |
| build\source\boot                                                                                                 |          1 |         33 |          0 |          7 |         40 |
| build\source\kernel                                                                                               |          1 |         33 |          0 |          7 |         40 |
| build\source\loader                                                                                               |          1 |         33 |          0 |          7 |         40 |
| script                                                                                                            |          7 |         60 |         63 |         34 |        157 |
| source                                                                                                            |         43 |      2,338 |        100 |        372 |      2,810 |
| source\boot                                                                                                       |          4 |         64 |         24 |         16 |        104 |
| source\comm                                                                                                       |          4 |        169 |          2 |         37 |        208 |
| source\kernel                                                                                                     |         30 |      1,886 |         74 |        283 |      2,243 |
| source\kernel (Files)                                                                                             |          2 |         37 |          0 |         10 |         47 |
| source\kernel\core                                                                                                |          2 |        385 |         16 |         39 |        440 |
| source\kernel\cpu                                                                                                 |          3 |        294 |          1 |         27 |        322 |
| source\kernel\dev                                                                                                 |          1 |         26 |          0 |          3 |         29 |
| source\kernel\include                                                                                             |         13 |        445 |         24 |        114 |        583 |
| source\kernel\include (Files)                                                                                     |          1 |          9 |          8 |          4 |         21 |
| source\kernel\include\core                                                                                        |          2 |         93 |          8 |         24 |        125 |
| source\kernel\include\cpu                                                                                         |          3 |        202 |          0 |         38 |        240 |
| source\kernel\include\dev                                                                                         |          1 |         11 |          0 |          5 |         16 |
