Date : 2025-06-08 22:27:44
Directory : e:\ubuntu\diy-x86os\start\start
Total : 82 files,  77576 codes, 361 comments, 901 blanks, all 78838 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| Log                     |          3 |     70,208 |          0 |         72 |     70,280 |
| JSON                    |         14 |      2,942 |          0 |         12 |      2,954 |
| C                       |         31 |      2,899 |        277 |        439 |      3,615 |
| x86 and x86_64 Assembly |          4 |        473 |          0 |        101 |        574 |
| C++                     |         10 |        327 |         20 |         84 |        431 |
| CMake                   |         11 |        322 |          0 |         85 |        407 |
| CMake Cache             |          1 |        312 |          0 |         74 |        386 |
| Shell Script            |          4 |         35 |         37 |         23 |         95 |
| JSON with Comments      |          2 |         33 |          0 |          0 |         33 |
| Batch                   |          2 |         25 |         27 |         11 |         63 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         82 |     77,576 |        361 |        901 |     78,838 |
| . (Files)                                                                                                         |          3 |     70,209 |          0 |         14 |     70,223 |
| build                                                                                                             |         25 |      4,186 |         61 |        354 |      4,601 |
| build (Files)                                                                                                     |          3 |        472 |          0 |         84 |        556 |
| build\.cmake                                                                                                      |         13 |      2,830 |          0 |         12 |      2,842 |
| build\.cmake\api                                                                                                  |         13 |      2,830 |          0 |         12 |      2,842 |
| build\.cmake\api\v1                                                                                               |         13 |      2,830 |          0 |         12 |      2,842 |
| build\.cmake\api\v1\query                                                                                         |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\reply                                                                                         |         12 |      2,829 |          0 |         12 |      2,841 |
| build\CMakeFiles                                                                                                  |          6 |        785 |         61 |        237 |      1,083 |
| build\CMakeFiles (Files)                                                                                          |          2 |         73 |          0 |         71 |        144 |
| build\CMakeFiles\3.23.1                                                                                           |          4 |        712 |         61 |        166 |        939 |
| build\CMakeFiles\3.23.1 (Files)                                                                                   |          3 |         79 |          0 |         31 |        110 |
| build\CMakeFiles\3.23.1\CompilerIdC                                                                               |          1 |        633 |         61 |        135 |        829 |
| build\source                                                                                                      |          3 |         99 |          0 |         21 |        120 |
| build\source\boot                                                                                                 |          1 |         33 |          0 |          7 |         40 |
| build\source\kernel                                                                                               |          1 |         33 |          0 |          7 |         40 |
| build\source\loader                                                                                               |          1 |         33 |          0 |          7 |         40 |
| script                                                                                                            |          7 |         70 |         64 |         34 |        168 |
| source                                                                                                            |         47 |      3,111 |        236 |        499 |      3,846 |
| source\applib                                                                                                     |          1 |         61 |          8 |          7 |         76 |
| source\boot                                                                                                       |          4 |         64 |         24 |         16 |        104 |
| source\comm                                                                                                       |          4 |        179 |          2 |         37 |        218 |
| source\kernel                                                                                                     |         33 |      2,588 |        202 |        403 |      3,193 |
| source\kernel (Files)                                                                                             |          1 |         15 |          0 |          3 |         18 |
| source\kernel\core                                                                                                |          3 |        677 |         36 |         86 |        799 |
| source\kernel\cpu                                                                                                 |          3 |        367 |         22 |         30 |        419 |
| source\kernel\dev                                                                                                 |          1 |         26 |          8 |          4 |         38 |
| source\kernel\include                                                                                             |         14 |        515 |         40 |        134 |        689 |
| source\kernel\include (Files)                                                                                     |          1 |         13 |          8 |          8 |         29 |
| source\kernel\include\core                                                                                        |          3 |        143 |         16 |         33 |        192 |
| source\kernel\include\cpu                                                                                         |          3 |        218 |          8 |         45 |        271 |
| source\kernel\include\dev                                                                                         |          1 |         11 |          0 |          5 |         16 |
| source\kernel\include\ipc                                                                                         |          2 |         27 |          0 |         12 |         39 |
| source\kernel\include\tools                                                                                       |          4 |        103 |          8 |         31 |        142 |
| source\kernel\init                                                                                                |          5 |        492 |         74 |        106 |        672 |
| source\kernel\ipc                                                                                                 |          2 |         96 |          8 |         10 |        114 |
| source\kernel\tools                                                                                               |          4 |        400 |         14 |         30 |        444 |
| source\loader                                                                                                     |          5 |        219 |          0 |         36 |        255 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                          | language                | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| e:\ubuntu\diy-x86os\start\start\CMakeLists.txt                                                                    | CMake                   |         51 |          0 |         13 |         64 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\query\client-vscode\query.json                                | JSON                    |          1 |          0 |          0 |          1 |
