Date : 2025-06-08 22:27:44
Directory : e:\ubuntu\diy-x86os\start\start
Total : 82 files,  77576 codes, 361 comments, 901 blanks, all 78838 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\cache-v2-a9e181b4e40f6141d882.json                      | JSON                    |      1,267 |          0 |          1 |      1,268 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\cmakeFiles-v1-221b669f9abf26b1a3c6.json                 | JSON                    |        469 |          0 |          1 |        470 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\codemodel-v2-fb12f78ae4328fd9a472.json                  | JSON                    |        159 |          0 |          1 |        160 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json             | JSON                    |         14 |          0 |          1 |         15 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.boot-Debug-e32ed8e172d18c41a714.json   | JSON                    |         14 |          0 |          1 |         15 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.kernel-Debug-4384d93899d7b295e598.json | JSON                    |         14 |          0 |          1 |         15 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.loader-Debug-c085dfc97c955badf5e0.json | JSON                    |         14 |          0 |          1 |         15 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\index-2025-06-08T08-52-45-0354.json                     | JSON                    |        132 |          0 |          1 |        133 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-boot-Debug-664a0300e8dbede8f8ae.json             | JSON                    |        162 |          0 |          1 |        163 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-bb541995888b119b1eb7.json           | JSON                    |        366 |          0 |          1 |        367 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-loader-Debug-670a68e7d8158d8d51f5.json           | JSON                    |        170 |          0 |          1 |        171 |
| e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\toolchains-v1-0345dc3850ce02d89834.json                 | JSON                    |         48 |          0 |          1 |         49 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeCache.txt                                                              | CMake Cache             |        312 |          0 |         74 |        386 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CMakeASMCompiler.cmake                                    | CMake                   |         14 |          0 |          7 |         21 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CMakeCCompiler.cmake                                      | CMake                   |         55 |          0 |         18 |         73 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CMakeSystem.cmake                                         | CMake                   |         10 |          0 |          6 |         16 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CompilerIdC\CMakeCCompilerId.c                            | C                       |        633 |         61 |        135 |        829 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\CMakeError.log                                                   | Log                     |         53 |          0 |         56 |        109 |
| e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\CMakeOutput.log                                                  | Log                     |         20 |          0 |         15 |         35 |
| e:\ubuntu\diy-x86os\start\start\build\cmake_install.cmake                                                         | CMake                   |         48 |          0 |         10 |         58 |
| e:\ubuntu\diy-x86os\start\start\build\compile_commands.json                                                       | JSON                    |        112 |          0 |          0 |        112 |
| e:\ubuntu\diy-x86os\start\start\build\source\boot\cmake_install.cmake                                             | CMake                   |         33 |          0 |          7 |         40 |
| e:\ubuntu\diy-x86os\start\start\build\source\kernel\cmake_install.cmake                                           | CMake                   |         33 |          0 |          7 |         40 |
| e:\ubuntu\diy-x86os\start\start\build\source\loader\cmake_install.cmake                                           | CMake                   |         33 |          0 |          7 |         40 |
| e:\ubuntu\diy-x86os\start\start\qemu-debug.log                                                                    | Log                     |     70,135 |          0 |          1 |     70,136 |
| e:\ubuntu\diy-x86os\start\start\script\img-write-linux.sh                                                         | Shell Script            |         16 |         18 |         10 |         44 |
| e:\ubuntu\diy-x86os\start\start\script\img-write-osx.sh                                                           | Shell Script            |         16 |         17 |         11 |         44 |
| e:\ubuntu\diy-x86os\start\start\script\img-write-win.bat                                                          | Batch                   |         14 |         25 |         10 |         49 |
| e:\ubuntu\diy-x86os\start\start\script\qemu-debug-linux.sh                                                        | Shell Script            |          2 |          1 |          1 |          4 |
| e:\ubuntu\diy-x86os\start\start\script\qemu-debug-osx.sh                                                          | Shell Script            |          1 |          1 |          1 |          3 |
| e:\ubuntu\diy-x86os\start\start\script\qemu-debug-win.bat                                                         | Batch                   |         11 |          2 |          1 |         14 |
| e:\ubuntu\diy-x86os\start\start\script\test.code-workspace                                                        | JSON with Comments      |         10 |          0 |          0 |         10 |
| e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h                                                       | C                       |         61 |          8 |          7 |         76 |
| e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt                                                        | CMake                   |         15 |          0 |          4 |         19 |
| e:\ubuntu\diy-x86os\start\start\source\boot\boot.c                                                                | C                       |          6 |         14 |          4 |         24 |
| e:\ubuntu\diy-x86os\start\start\source\boot\boot.h                                                                | C++                     |          3 |         10 |          2 |         15 |
| e:\ubuntu\diy-x86os\start\start\source\boot\start.S                                                               | x86 and x86_64 Assembly |         40 |          0 |          6 |         46 |
| e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h                                                           | C++                     |         14 |          0 |          7 |         21 |
| e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h                                                           | C++                     |        115 |          0 |         15 |        130 |
| e:\ubuntu\diy-x86os\start\start\source\comm\elf.h                                                                 | C++                     |         43 |          2 |         13 |         58 |
| e:\ubuntu\diy-x86os\start\start\source\comm\types.h                                                               | C++                     |          7 |          0 |          2 |          9 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt                                                      | CMake                   |         15 |          0 |          3 |         18 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c                                                       | C                       |        236 |         25 |         39 |        300 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c                                                      | C                       |         30 |          0 |          2 |         32 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c                                                         | C                       |        411 |         11 |         45 |        467 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c                                                           | C                       |         78 |         13 |          9 |        100 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c                                                           | C                       |        289 |          1 |         20 |        310 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c                                                           | C                       |          0 |          8 |          1 |          9 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c                                                          | C                       |         26 |          8 |          4 |         38 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h                                               | C                       |         34 |          8 |          7 |         49 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h                                              | C                       |         34 |          0 |          1 |         35 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h                                                 | C                       |         75 |          8 |         25 |        108 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h                                                   | C++                     |         60 |          8 |         15 |         83 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h                                                   | C                       |         87 |          0 |         22 |        109 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h                                                   | C                       |         71 |          0 |          8 |         79 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h                                                  | C++                     |         11 |          0 |          5 |         16 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h                                                 | C                       |         14 |          0 |          9 |         23 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h                                                   | C                       |         13 |          0 |          3 |         16 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h                                                    | C                       |         13 |          8 |          8 |         29 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h                                              | C                       |         15 |          8 |          6 |         29 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h                                                | C                       |         29 |          0 |          8 |         37 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h                                                | C++                     |         54 |          0 |         12 |         66 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h                                                 | C                       |          5 |          0 |          5 |         10 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c                                                   | C                       |         39 |         22 |          3 |         64 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S                                             | x86 and x86_64 Assembly |         10 |          0 |          1 |         11 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c                                                         | C                       |         46 |         52 |          9 |        107 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h                                                         | C++                     |          3 |          0 |          5 |          8 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S                                                        | x86 and x86_64 Assembly |        394 |          0 |         88 |        482 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c                                                         | C                       |         49 |          8 |          6 |         63 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c                                                           | C                       |         47 |          0 |          4 |         51 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c                                                      | C                       |         65 |          0 |          2 |         67 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c                                                        | C                       |        219 |          3 |         12 |        234 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c                                                        | C                       |         78 |          0 |          6 |         84 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c                                                         | C                       |         38 |         11 |         10 |         59 |
| e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt                                                      | CMake                   |         15 |          0 |          3 |         18 |
| e:\ubuntu\diy-x86os\start\start\source\loader\loader.h                                                            | C++                     |         17 |          0 |          8 |         25 |
| e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c                                                         | C                       |         67 |          0 |         13 |         80 |
| e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c                                                         | C                       |         91 |          0 |          6 |         97 |
| e:\ubuntu\diy-x86os\start\start\source\loader\start.S                                                             | x86 and x86_64 Assembly |         29 |          0 |          6 |         35 |
| e:\ubuntu\diy-x86os\start\start\start.code-workspace                                                              | JSON with Comments      |         23 |          0 |          0 |         23 |
| Total                                                                                                             |                         |     77,576 |        361 |        901 |     78,838 |
+-------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
